gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,year,state
female,group C,some college,free/reduced,none,76,83,88,2020,New York
female,group D,associate's degree,standard,none,71,71,74,2019,Virginia
female,group A,some college,standard,none,58,70,67,2020,Wisconsin
female,group D,some high school,standard,none,73,86,82,2017,Virginia
female,group C,bachelor's degree,standard,none,65,72,74,2015,Indiana
male,group C,high school,free/reduced,none,27,34,36,2015,Massachusetts
male,group C,high school,standard,none,71,79,71,2017,Washington
male,group C,associate's degree,free/reduced,completed,43,45,50,2019,Indiana
female,group B,some college,standard,none,79,86,92,2017,Washington
male,group C,associate's degree,free/reduced,completed,78,81,82,2015,Pennsylvania
male,group B,some high school,standard,completed,65,66,62,2016,Arizona
female,group E,some college,standard,completed,63,72,70,2019,Florida
female,group D,some college,free/reduced,none,58,67,62,2016,Maryland
female,group D,bachelor's degree,standard,none,65,67,62,2015,Indiana
male,group B,some college,standard,none,79,67,67,2016,New York
male,group D,bachelor's degree,standard,completed,68,74,74,2018,Wisconsin
female,group D,associate's degree,standard,none,85,91,89,2016,California
male,group B,high school,standard,completed,60,44,47,2016,Maryland
male,group C,some college,standard,completed,98,86,90,2020,Illinois
female,group C,some college,standard,none,58,67,72,2018,Florida
female,group D,master's degree,standard,none,87,100,100,2016,Tennessee
male,group E,associate's degree,standard,completed,66,63,64,2018,Florida
female,group B,associate's degree,free/reduced,none,52,76,70,2017,Maryland
female,group B,some high school,standard,none,70,64,72,2016,New York
female,group D,associate's degree,free/reduced,completed,77,89,98,2018,Indiana
male,group C,high school,standard,none,62,55,49,2019,Ohio
male,group A,associate's degree,standard,none,54,53,47,2016,Washington
female,group D,some college,standard,none,51,58,54,2017,Missouri
female,group E,bachelor's degree,standard,completed,99,100,100,2016,New York
male,group C,high school,standard,none,84,77,74,2018,Illinois
female,group B,bachelor's degree,free/reduced,none,75,85,82,2018,Indiana
female,group D,bachelor's degree,standard,none,78,82,79,2018,Missouri
female,group D,some high school,standard,none,51,63,61,2017,New York
female,group C,some college,standard,none,55,69,65,2018,Tennessee
female,group C,bachelor's degree,standard,completed,79,92,89,2019,Wisconsin
male,group B,associate's degree,standard,completed,91,89,92,2016,Virginia
female,group C,some college,standard,completed,88,93,93,2020,Missouri
male,group D,high school,free/reduced,none,63,57,56,2020,Indiana
male,group E,some college,standard,none,83,80,73,2018,Ohio
female,group B,high school,standard,none,87,95,86,2020,Missouri
male,group B,some high school,standard,none,72,68,67,2018,Arizona
male,group D,some college,standard,completed,65,77,74,2018,Washington
male,group D,master's degree,standard,none,82,82,74,2015,Florida
female,group A,bachelor's degree,standard,none,51,49,51,2017,Georgia
male,group D,master's degree,standard,none,89,84,82,2015,Indiana
male,group C,some high school,free/reduced,completed,53,37,40,2015,Missouri
male,group E,some college,free/reduced,completed,87,74,70,2016,Indiana
female,group C,some college,standard,completed,75,81,84,2018,Missouri
male,group D,bachelor's degree,free/reduced,completed,74,79,75,2019,North Carolina
male,group C,bachelor's degree,standard,none,58,55,48,2017,Illinois
male,group B,some high school,standard,completed,51,54,41,2018,Arizona
male,group E,high school,standard,none,70,55,56,2019,Georgia
female,group C,associate's degree,standard,none,59,66,67,2015,Massachusetts
male,group D,some college,standard,completed,71,61,69,2018,New York
female,group D,some high school,standard,none,76,72,71,2019,Missouri
female,group C,some college,free/reduced,none,59,62,64,2016,Illinois
female,group E,some college,free/reduced,completed,42,55,54,2017,North Carolina
male,group A,high school,standard,none,57,43,47,2016,North Carolina
male,group D,some college,standard,none,88,73,78,2015,Missouri
female,group C,some college,free/reduced,none,22,39,33,2017,Texas
male,group B,some high school,standard,none,88,84,75,2018,Virginia
male,group C,associate's degree,free/reduced,none,73,68,66,2015,Texas
female,group D,bachelor's degree,standard,completed,68,75,81,2018,Indiana
male,group E,associate's degree,free/reduced,completed,100,100,93,2020,Maryland
male,group A,some high school,standard,completed,62,67,69,2019,North Carolina
male,group A,bachelor's degree,standard,none,77,67,68,2017,North Carolina
female,group B,associate's degree,standard,completed,59,70,66,2018,Pennsylvania
male,group D,bachelor's degree,standard,none,54,49,47,2019,California
male,group D,some high school,standard,none,62,67,61,2017,Tennessee
female,group C,some college,standard,completed,70,89,88,2015,Texas
female,group E,high school,free/reduced,completed,66,74,78,2019,Ohio
male,group B,some college,free/reduced,none,60,60,60,2015,Virginia
female,group B,associate's degree,standard,completed,61,86,87,2018,Indiana
male,group D,associate's degree,free/reduced,none,66,62,64,2017,Illinois
male,group B,associate's degree,free/reduced,completed,82,78,74,2015,Wisconsin
female,group E,some college,free/reduced,completed,75,88,85,2020,Arizona
male,group B,master's degree,free/reduced,none,49,53,52,2016,Maryland
male,group C,high school,standard,none,52,53,49,2018,New York
female,group E,master's degree,standard,none,81,92,91,2019,Texas
female,group C,bachelor's degree,standard,completed,96,100,100,2016,Illinois
male,group C,high school,free/reduced,completed,53,51,51,2015,Georgia
female,group B,master's degree,free/reduced,completed,58,76,78,2018,Washington
female,group B,high school,standard,completed,68,83,78,2017,Georgia
female,group C,some college,free/reduced,completed,67,75,70,2019,North Carolina
male,group A,high school,standard,completed,72,73,74,2016,Florida
male,group E,some high school,standard,none,94,88,78,2017,Virginia
female,group D,some college,standard,none,79,86,81,2016,California
female,group C,associate's degree,standard,none,63,67,70,2016,Colorado
female,group C,bachelor's degree,free/reduced,completed,43,51,54,2018,Pennsylvania
female,group C,master's degree,standard,completed,81,91,87,2020,California
female,group B,high school,free/reduced,completed,46,54,58,2015,Virginia
female,group C,associate's degree,standard,completed,71,77,77,2015,Arizona
female,group B,master's degree,free/reduced,completed,52,70,62,2017,Tennessee
female,group D,some high school,standard,completed,97,100,100,2016,Illinois
male,group C,master's degree,free/reduced,completed,62,68,75,2019,Missouri
female,group C,some college,free/reduced,none,46,64,66,2017,Georgia
female,group E,high school,standard,none,50,50,47,2017,Missouri
female,group D,associate's degree,standard,none,65,69,70,2020,Illinois
male,group C,some high school,free/reduced,completed,45,52,49,2016,Arizona
male,group C,associate's degree,free/reduced,completed,65,67,65,2015,Arizona
male,group E,high school,standard,none,80,76,65,2016,Colorado
male,group D,some high school,standard,completed,62,66,68,2017,Virginia
male,group B,some high school,free/reduced,none,48,52,45,2019,Indiana
female,group C,bachelor's degree,standard,none,77,88,87,2020,Michigan
female,group E,associate's degree,standard,none,66,65,69,2020,Colorado
male,group D,some college,standard,completed,76,83,79,2017,Michigan
female,group B,some high school,standard,none,62,64,66,2015,Illinois
male,group D,some college,standard,completed,77,62,62,2018,Massachusetts
female,group C,master's degree,standard,completed,69,84,85,2018,Missouri
male,group D,associate's degree,standard,none,61,55,52,2017,Texas
male,group C,some high school,free/reduced,completed,59,69,65,2019,Maryland
male,group E,high school,free/reduced,none,55,56,51,2016,Indiana
female,group B,some college,free/reduced,none,45,53,55,2019,Michigan
female,group B,bachelor's degree,free/reduced,none,78,79,76,2016,North Carolina
female,group C,associate's degree,standard,completed,67,84,86,2015,Illinois
female,group D,some college,free/reduced,none,65,81,77,2017,Michigan
male,group C,associate's degree,standard,none,69,77,69,2020,Massachusetts
female,group B,associate's degree,standard,none,57,69,68,2015,Massachusetts
male,group C,some college,standard,none,59,41,42,2019,Florida
male,group D,some high school,standard,completed,74,71,78,2020,North Carolina
male,group E,bachelor's degree,standard,none,82,62,62,2020,Missouri
male,group E,high school,standard,completed,81,80,76,2017,Wisconsin
female,group B,some college,free/reduced,none,74,81,76,2020,California
female,group B,some college,free/reduced,none,58,61,66,2019,New York
male,group D,some high school,free/reduced,completed,80,79,79,2018,Illinois
male,group C,some college,free/reduced,none,35,28,27,2017,Virginia
female,group C,high school,free/reduced,none,42,62,60,2015,Washington
male,group C,associate's degree,free/reduced,completed,60,51,56,2020,Massachusetts
male,group E,high school,standard,completed,87,91,81,2020,Texas
male,group B,some high school,standard,completed,84,83,75,2018,Colorado
female,group E,associate's degree,free/reduced,completed,83,86,88,2015,Massachusetts
female,group C,high school,free/reduced,none,34,42,39,2018,Maryland
male,group B,high school,free/reduced,none,66,77,70,2020,Illinois
male,group B,some high school,standard,completed,61,56,56,2017,Florida
female,group D,high school,standard,completed,56,68,74,2015,Ohio
male,group B,associate's degree,standard,none,87,85,73,2019,Illinois
female,group C,some high school,free/reduced,none,55,65,62,2020,Colorado
male,group D,some high school,standard,none,86,80,75,2016,Arizona
female,group B,associate's degree,standard,completed,52,66,73,2018,Arizona
female,group E,master's degree,free/reduced,none,45,56,54,2015,Colorado
female,group C,some college,standard,none,72,72,71,2015,Indiana
male,group D,high school,standard,none,57,50,54,2016,Missouri
male,group A,some high school,free/reduced,none,68,72,64,2019,Georgia
female,group C,some college,standard,completed,88,95,94,2017,Wisconsin
male,group D,some college,standard,none,76,64,66,2016,Colorado
male,group C,associate's degree,standard,none,46,43,42,2019,Illinois
female,group B,bachelor's degree,standard,none,67,86,83,2016,New York
male,group E,some high school,standard,none,92,87,78,2017,New York
male,group C,bachelor's degree,standard,completed,83,82,84,2020,Georgia
male,group D,associate's degree,standard,none,80,75,77,2015,Massachusetts
male,group D,bachelor's degree,free/reduced,none,63,66,67,2015,Pennsylvania
female,group D,some high school,standard,completed,64,60,74,2016,Pennsylvania
male,group B,some college,standard,none,54,52,51,2015,Wisconsin
male,group C,associate's degree,standard,none,84,80,80,2020,Arizona
male,group D,high school,free/reduced,completed,73,68,66,2015,Florida
female,group E,bachelor's degree,standard,none,80,83,83,2017,Texas
female,group D,high school,standard,none,56,52,55,2015,Maryland
male,group E,some college,standard,none,59,51,43,2017,Ohio
male,group D,some high school,standard,none,75,74,69,2018,Illinois
male,group C,associate's degree,standard,none,85,76,71,2019,North Carolina
male,group E,associate's degree,standard,none,89,76,74,2019,North Carolina
female,group B,high school,standard,completed,58,70,68,2015,Colorado
female,group B,high school,standard,none,65,64,62,2017,California
male,group C,high school,standard,none,68,60,53,2015,Ohio
male,group A,some high school,standard,completed,47,49,49,2017,New York
female,group D,some college,free/reduced,none,71,83,83,2016,Michigan
female,group B,some high school,standard,completed,60,70,70,2015,Washington
male,group D,master's degree,standard,none,80,80,72,2020,Virginia
male,group D,high school,standard,none,54,52,52,2016,New York
female,group E,some college,standard,none,62,73,70,2019,North Carolina
female,group C,associate's degree,free/reduced,none,64,73,68,2019,Michigan
male,group C,associate's degree,standard,completed,78,77,77,2019,Pennsylvania
female,group B,some college,standard,none,70,75,78,2018,Arizona
female,group C,master's degree,free/reduced,completed,65,81,81,2016,Georgia
female,group C,some high school,free/reduced,completed,64,79,77,2020,North Carolina
male,group C,some college,standard,completed,79,79,78,2016,Florida
female,group C,some high school,free/reduced,none,44,50,51,2018,Maryland
female,group E,high school,standard,none,99,93,90,2015,Arizona
male,group D,high school,standard,none,76,73,68,2017,Texas
male,group D,some high school,free/reduced,none,59,42,41,2017,Florida
female,group C,bachelor's degree,standard,none,63,75,81,2015,Tennessee
female,group D,high school,standard,none,69,72,77,2015,Arizona
female,group D,associate's degree,standard,completed,88,92,95,2020,Tennessee
female,group E,some college,free/reduced,none,71,76,70,2020,Indiana
male,group C,bachelor's degree,standard,none,69,63,61,2019,Colorado
male,group C,some college,standard,none,58,49,42,2020,New York
female,group D,associate's degree,free/reduced,none,47,53,58,2020,Missouri
female,group D,some college,standard,none,65,70,71,2017,North Carolina
male,group B,some college,standard,completed,88,85,76,2017,Ohio
male,group C,bachelor's degree,standard,none,83,78,73,2015,North Carolina
female,group C,some high school,standard,completed,85,92,93,2020,Colorado
female,group E,high school,standard,completed,59,63,75,2016,Virginia
female,group C,some high school,free/reduced,none,65,86,80,2020,Colorado
male,group B,bachelor's degree,free/reduced,none,73,56,57,2016,Pennsylvania
male,group D,high school,standard,none,53,52,42,2019,Georgia
male,group D,high school,standard,none,45,48,46,2018,Missouri
female,group D,bachelor's degree,free/reduced,none,73,79,84,2020,Wisconsin
female,group D,some college,free/reduced,completed,70,78,78,2015,Virginia
female,group B,some high school,standard,none,37,46,46,2016,Colorado
male,group B,associate's degree,standard,completed,81,82,82,2019,Tennessee
male,group E,associate's degree,standard,completed,97,82,88,2020,Tennessee
female,group B,some high school,standard,none,67,89,82,2018,Indiana
male,group B,bachelor's degree,free/reduced,none,88,75,76,2019,Massachusetts
male,group E,some high school,standard,completed,77,76,77,2018,Virginia
male,group C,associate's degree,standard,none,76,70,68,2016,Indiana
male,group D,some high school,standard,none,86,73,70,2016,Florida
male,group C,some high school,standard,completed,63,60,57,2015,Illinois
female,group E,bachelor's degree,standard,none,65,73,75,2019,Texas
male,group D,high school,free/reduced,completed,78,77,80,2017,New York
male,group B,associate's degree,free/reduced,none,67,62,60,2020,Pennsylvania
male,group A,some high school,standard,completed,46,41,43,2016,Washington
male,group E,associate's degree,standard,completed,71,74,68,2016,Pennsylvania
male,group C,high school,free/reduced,completed,40,46,50,2017,Illinois
male,group D,associate's degree,free/reduced,none,90,87,75,2016,Wisconsin
male,group A,some college,free/reduced,completed,81,78,81,2018,Michigan
male,group D,some high school,free/reduced,none,56,54,52,2015,Florida
female,group C,associate's degree,standard,completed,67,84,81,2016,Washington
male,group B,associate's degree,standard,none,80,76,64,2016,Massachusetts
female,group C,associate's degree,standard,completed,74,75,83,2018,Massachusetts
male,group A,some college,standard,none,69,67,69,2015,Georgia
male,group E,some college,standard,completed,99,87,81,2018,Illinois
male,group C,some high school,standard,none,51,52,44,2019,Colorado
female,group B,associate's degree,free/reduced,none,53,71,67,2017,Maryland
female,group D,high school,free/reduced,none,49,57,52,2015,Virginia
female,group B,associate's degree,standard,none,73,76,80,2017,New York
male,group B,bachelor's degree,standard,none,66,60,57,2019,Colorado
male,group D,bachelor's degree,standard,completed,67,61,68,2019,Missouri
female,group C,associate's degree,free/reduced,completed,68,67,69,2018,Massachusetts
female,group C,bachelor's degree,standard,completed,59,64,75,2020,California
male,group C,high school,standard,none,71,66,65,2016,Texas
female,group D,master's degree,standard,completed,77,82,91,2018,Illinois
male,group C,associate's degree,standard,none,83,72,78,2016,Missouri
male,group B,bachelor's degree,standard,none,63,71,69,2018,Arizona
female,group D,associate's degree,free/reduced,none,56,65,63,2015,Ohio
female,group C,high school,free/reduced,completed,67,79,84,2019,Massachusetts
female,group E,high school,standard,none,75,86,79,2018,North Carolina
female,group C,some college,standard,none,71,81,80,2015,Pennsylvania
female,group C,some high school,free/reduced,none,43,53,53,2020,Colorado
female,group C,high school,free/reduced,none,41,46,43,2016,Tennessee
female,group C,some college,standard,none,82,90,94,2016,California
male,group C,some college,standard,none,61,61,62,2017,Pennsylvania
male,group A,some college,free/reduced,none,28,23,19,2017,Georgia
male,group C,associate's degree,standard,completed,82,75,77,2017,California
female,group B,some high school,standard,none,41,55,51,2020,Indiana
male,group C,high school,standard,none,71,60,61,2017,North Carolina
male,group C,associate's degree,standard,none,47,37,35,2020,Ohio
male,group E,associate's degree,standard,completed,62,56,53,2015,North Carolina
male,group B,associate's degree,standard,none,90,78,81,2018,Virginia
female,group C,bachelor's degree,standard,none,83,93,95,2019,Ohio
female,group B,some college,free/reduced,none,61,68,66,2015,Wisconsin
male,group D,some high school,standard,completed,76,70,69,2018,Michigan
male,group C,associate's degree,standard,none,49,51,43,2016,New York
female,group B,some high school,free/reduced,none,24,38,27,2019,Washington
female,group D,some high school,free/reduced,completed,35,55,60,2018,Tennessee
male,group C,high school,free/reduced,none,58,61,52,2019,Missouri
female,group C,high school,standard,none,61,73,63,2018,Indiana
female,group B,high school,standard,completed,69,76,74,2018,Missouri
male,group D,associate's degree,standard,completed,67,72,67,2017,Washington
male,group D,some college,standard,none,79,73,67,2020,Wisconsin
female,group C,high school,standard,none,72,80,75,2018,Indiana
male,group B,some college,standard,none,62,61,57,2015,California
female,group C,bachelor's degree,standard,completed,77,94,95,2016,Colorado
male,group D,high school,free/reduced,none,75,74,66,2019,Texas
male,group E,associate's degree,standard,none,87,74,76,2017,Georgia
female,group B,bachelor's degree,standard,none,52,65,69,2015,Michigan
male,group E,some college,standard,none,66,57,52,2016,Texas
female,group C,some college,standard,completed,63,78,80,2019,Wisconsin
female,group C,associate's degree,standard,none,46,58,57,2020,Indiana
female,group C,some college,standard,none,59,71,70,2016,Tennessee
female,group B,bachelor's degree,standard,none,61,72,70,2017,North Carolina
male,group A,associate's degree,standard,none,63,61,61,2018,Wisconsin
female,group C,some college,free/reduced,completed,42,66,69,2017,Wisconsin
male,group D,some college,free/reduced,none,59,62,61,2016,Washington
female,group D,some college,standard,none,80,90,89,2019,Washington
female,group B,high school,standard,none,58,62,59,2017,Pennsylvania
male,group B,some high school,standard,completed,85,84,78,2017,Illinois
female,group C,some college,standard,none,52,58,58,2016,Maryland
female,group D,some high school,free/reduced,none,27,34,32,2020,Colorado
male,group C,some college,standard,none,59,60,58,2016,Arizona
male,group A,bachelor's degree,free/reduced,completed,49,58,60,2020,Massachusetts
male,group C,high school,standard,completed,69,58,53,2020,Tennessee
male,group C,bachelor's degree,free/reduced,none,61,66,61,2016,Florida
female,group A,some high school,free/reduced,none,44,64,58,2017,Texas
female,group D,some high school,standard,none,73,84,85,2020,Michigan
male,group E,some college,standard,none,84,77,71,2020,Tennessee
female,group C,some college,free/reduced,completed,45,73,70,2019,Texas
male,group D,some high school,standard,none,74,74,72,2015,Wisconsin
female,group D,some college,standard,completed,82,97,96,2017,Texas
female,group D,bachelor's degree,standard,none,59,70,73,2018,Tennessee
male,group E,associate's degree,free/reduced,none,46,43,41,2018,Michigan
female,group D,some high school,standard,none,80,90,82,2019,Massachusetts
female,group D,master's degree,free/reduced,completed,85,95,100,2020,Missouri
female,group A,some high school,standard,none,71,83,77,2020,Maryland
male,group A,bachelor's degree,standard,none,66,64,62,2018,Indiana
female,group B,associate's degree,standard,none,80,86,83,2019,Ohio
male,group C,associate's degree,standard,completed,87,100,95,2020,Indiana
male,group C,master's degree,free/reduced,none,79,81,71,2019,Washington
female,group E,some high school,free/reduced,none,38,49,45,2015,California
female,group A,some high school,free/reduced,none,38,43,43,2015,Pennsylvania
female,group E,some college,standard,none,67,76,75,2015,Arizona
female,group E,bachelor's degree,standard,none,64,73,70,2018,Wisconsin
female,group C,associate's degree,free/reduced,none,57,78,67,2016,Florida
female,group D,high school,standard,none,62,64,64,2015,Tennessee
male,group D,master's degree,standard,none,73,70,75,2015,California
male,group E,some high school,free/reduced,completed,73,67,59,2018,Maryland
female,group D,some college,standard,none,77,68,77,2016,Illinois
male,group E,some college,standard,none,76,67,67,2018,Virginia
male,group C,associate's degree,standard,completed,57,54,56,2017,Washington
female,group C,some high school,standard,completed,65,74,77,2016,Ohio
male,group A,high school,free/reduced,none,48,45,41,2015,Washington
female,group B,high school,free/reduced,none,50,67,63,2019,Pennsylvania
female,group C,associate's degree,standard,none,85,89,95,2020,Massachusetts
male,group B,some high school,standard,none,74,63,57,2016,Missouri
male,group D,some high school,standard,none,60,59,54,2015,Pennsylvania
female,group C,some high school,standard,completed,59,54,67,2016,Indiana
male,group A,some college,standard,none,53,43,43,2015,Colorado
female,group A,some college,free/reduced,none,49,65,55,2020,Indiana
female,group D,high school,standard,completed,88,99,100,2018,Colorado
female,group C,high school,standard,none,54,59,62,2019,Pennsylvania
female,group C,some high school,standard,none,63,73,68,2018,New York
male,group B,associate's degree,standard,completed,65,65,63,2015,Colorado
female,group B,associate's degree,standard,none,82,80,77,2020,Illinois
female,group D,high school,free/reduced,completed,52,57,56,2019,Texas
male,group D,associate's degree,standard,completed,87,84,85,2016,Maryland
female,group D,master's degree,standard,completed,70,71,74,2017,Georgia
male,group E,some college,standard,completed,84,83,78,2019,New York
male,group D,associate's degree,standard,none,71,66,60,2020,Indiana
male,group B,some high school,standard,completed,63,67,67,2016,Washington
female,group C,bachelor's degree,free/reduced,completed,51,72,79,2017,New York
male,group E,high school,standard,none,84,73,69,2019,Michigan
male,group C,bachelor's degree,standard,completed,71,74,68,2017,Texas
male,group C,associate's degree,standard,none,74,73,67,2015,Maryland
male,group D,some college,standard,none,68,59,62,2015,California
male,group E,high school,free/reduced,completed,57,56,54,2020,Missouri
female,group C,associate's degree,free/reduced,completed,82,93,93,2019,Illinois
female,group D,high school,standard,completed,57,58,64,2020,Florida
female,group D,master's degree,free/reduced,completed,47,58,67,2016,Ohio
female,group A,some high school,standard,completed,59,85,80,2016,Florida
male,group B,some college,free/reduced,none,41,39,34,2019,Wisconsin
female,group C,some college,free/reduced,none,62,67,62,2020,Pennsylvania
male,group C,bachelor's degree,standard,none,86,83,86,2017,Colorado
male,group C,some high school,free/reduced,none,69,71,65,2016,New York
male,group A,some high school,free/reduced,none,65,59,53,2015,Florida
male,group C,some high school,free/reduced,none,68,63,54,2016,Virginia
male,group C,associate's degree,free/reduced,none,64,66,59,2018,Michigan
female,group C,high school,standard,none,61,72,70,2015,Florida
male,group C,high school,standard,none,61,56,55,2020,Tennessee
female,group A,some high school,free/reduced,none,47,59,50,2016,Florida
male,group C,some high school,standard,none,73,66,66,2016,Ohio
male,group C,some college,free/reduced,completed,50,48,53,2018,California
male,group D,associate's degree,standard,none,75,68,64,2016,Virginia
male,group D,associate's degree,free/reduced,none,75,66,73,2020,Texas
male,group C,high school,standard,none,70,56,51,2017,Washington
male,group D,some high school,standard,completed,89,88,82,2020,Virginia
female,group C,some college,standard,completed,67,81,79,2017,Ohio
female,group D,high school,standard,none,78,81,80,2016,California
female,group A,some high school,free/reduced,none,59,73,69,2019,Maryland
female,group B,associate's degree,standard,none,73,83,76,2017,Pennsylvania
male,group A,some high school,free/reduced,none,79,82,73,2017,California
female,group C,some high school,standard,completed,67,74,77,2020,Indiana
male,group D,some college,free/reduced,none,69,66,60,2016,Massachusetts
male,group C,high school,standard,completed,86,81,80,2017,Wisconsin
male,group B,high school,standard,none,47,46,42,2015,California
male,group B,associate's degree,standard,none,81,73,72,2016,Missouri
female,group C,some college,free/reduced,completed,64,85,85,2015,Pennsylvania
female,group E,some college,standard,none,100,92,97,2016,North Carolina
female,group C,associate's degree,free/reduced,none,65,77,74,2016,California
male,group C,some college,free/reduced,none,65,58,49,2018,Wisconsin
female,group C,associate's degree,free/reduced,none,53,61,62,2015,Texas
male,group C,bachelor's degree,free/reduced,none,37,56,47,2018,Maryland
female,group D,bachelor's degree,standard,none,79,89,89,2020,Massachusetts
male,group D,associate's degree,free/reduced,none,53,54,48,2020,Illinois
female,group E,bachelor's degree,standard,none,100,100,100,2019,Arizona
male,group B,high school,standard,completed,72,65,68,2017,Ohio
male,group C,bachelor's degree,free/reduced,none,53,58,55,2016,Arizona
male,group B,some college,free/reduced,none,54,54,45,2015,Ohio
female,group E,some college,standard,none,71,70,76,2017,Missouri
